[syn]	d0s	top	d0t
wn30instances:synset-access-noun-3	d0:Location	wn30instances:synset-way-noun-6	dul:PhysicalPlace
wn30instances:synset-access_time-noun-1	dul:TimeInterval	wn30instances:synset-time_interval-noun-1	dul:TimeInterval
wn30instances:synset-accession-noun-3	d0:Activity	wn30instances:synset-acquisition-noun-2	dul:Action
wn30instances:synset-account-noun-3	dul:Description	wn30instances:synset-relationship-noun-3	dul:SocialRelation
wn30instances:synset-account_payable-noun-1	dul:Description	wn30instances:synset-indebtedness-noun-1	dul:Obligation
wn30instances:synset-accounting_data-noun-1	dul:InformationEntity	wn30instances:synset-data-noun-1	coll:InformationCollection
wn30instances:synset-acculturation-noun-2	dul:InformationEntity	wn30instances:synset-content-noun-5	coll:InformationCollection
wn30instances:synset-accuracy-noun-1	d0:Characteristic	wn30instances:synset-quality-noun-1	dul:Quality
wn30instances:synset-accuracy-noun-2	d0:Characteristic	wn30instances:synset-quality-noun-1	dul:Quality
wn30instances:synset-acephalia-noun-1	dul:Situation	wn30instances:synset-abnormality-noun-1	dul:Situation
wn30instances:synset-achiever-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-achlorhydria-noun-1	dul:Situation	wn30instances:synset-disorder-noun-1	dul:Situation
wn30instances:synset-acholia-noun-1	dul:Situation	wn30instances:synset-disorder-noun-1	dul:Situation
wn30instances:synset-achondrite-noun-1	dul:PhysicalObject	wn30instances:synset-rock-noun-1	dul:PhysicalBody
wn30instances:synset-achromatin-noun-1	dul:PhysicalObject	wn30instances:synset-body_substance-noun-1	dul:FunctionalSubstance
wn30instances:synset-achylia-noun-1	dul:Situation	wn30instances:synset-disorder-noun-1	dul:Situation
wn30instances:synset-acid-noun-1	dul:PhysicalObject	wn30instances:synset-compound-noun-2	dul:ChemicalObject
wn30instances:synset-acidification-noun-1	dul:Process	wn30instances:synset-natural_process-noun-1	dul:Process
wn30instances:synset-acknowledgment-noun-3	d0:Topic	wn30instances:synset-message-noun-2	ontopic:Topic
wn30instances:synset-aclinic_line-noun-1	d0:Location	wn30instances:synset-line-noun-11	dul:SpaceRegion
wn30instances:synset-acme-noun-1	d0:Characteristic	wn30instances:synset-degree-noun-2	dul:Parameter
wn30instances:synset-acorea-noun-1	dul:Situation	wn30instances:synset-abnormality-noun-1	dul:Situation
wn30instances:synset-acquaintance-noun-2	dul:Description	wn30instances:synset-relationship-noun-3	dul:SocialRelation
wn30instances:synset-acquaintance-noun-3	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-acquirer-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-acquiring-noun-1	d0:Activity	wn30instances:synset-act-noun-2	dul:Action
wn30instances:synset-acromicria-noun-1	dul:Situation	wn30instances:synset-abnormality-noun-1	dul:Situation
wn30instances:synset-acromphalus-noun-1	dul:Situation	wn30instances:synset-abnormality-noun-1	dul:Situation
wn30instances:synset-acrylic-noun-4	dul:PhysicalObject	wn30instances:synset-fabric-noun-1	dul:DesignedArtifact
wn30instances:synset-acting-noun-1	d0:Topic	wn30instances:synset-activity-noun-1	dul:Action
wn30instances:synset-acting-noun-1	d0:Activity	wn30instances:synset-activity-noun-1	dul:Action
wn30instances:synset-acting_out-noun-2	dul:InformationEntity	wn30instances:synset-display-noun-5	dul:InformationRealization
wn30instances:synset-actinium-noun-1	dul:PhysicalObject	wn30instances:synset-chemical_element-noun-1	dul:ChemicalObject
wn30instances:synset-actinoid-noun-1	dul:Collection	wn30instances:synset-group-noun-1	dul:Collection
wn30instances:synset-action-noun-1	d0:Activity	wn30instances:synset-act-noun-2	dul:Action
